,Step,Value,Wall time
0,1000,9.147416114807129,1541780867.1504579
1,2000,5.718679904937744,1541781952.1140769
2,3000,3.9271836280822754,1541783037.697082
3,4000,3.4397130012512207,1541784123.2016404
4,5000,3.189371347427368,1541785207.852313
5,6000,3.003415822982788,1541789766.8694155
6,7000,2.820441246032715,1541790852.3153782
7,8000,2.670043706893921,1541791937.3602657
8,9000,2.5404295921325684,1541793023.8386347
9,10000,2.425407886505127,1541794110.2830932
10,11000,2.370037317276001,1541796961.664555
11,12000,2.201478958129883,1541799792.466727
12,13000,2.1075429916381836,1541800877.612951
13,14000,1.9845424890518188,1541801963.3633897
14,15000,1.8738341331481934,1541803050.3822885
15,16000,1.787021279335022,1541805874.5821972
16,17000,1.6824206113815308,1541808688.7048693
17,18000,1.6258291006088257,1541809774.608397
18,19000,1.5715534687042236,1541810861.1106484
19,20000,1.5961250066757202,1541811948.158967
20,21000,1.4517135620117188,1541814788.5643437
21,22000,1.4214586019515991,1541815875.2514122
22,23000,1.3478211164474487,1541818684.814895
23,24000,1.3218650817871094,1541819771.3456118
24,25000,1.282676339149475,1541820858.0308747
25,26000,1.252320408821106,1541823681.5920136
26,27000,1.2335317134857178,1541824769.021296
27,28000,1.3032569885253906,1541827583.9620187
28,29000,1.1857701539993286,1541828671.9848833
29,30000,1.1765546798706055,1541829759.1916285
30,31000,1.1578632593154907,1541832581.3031485
31,32000,1.150750994682312,1541833669.8716302
32,33000,1.1386926174163818,1541834756.3339777
33,34000,1.121904969215393,1541837573.0078068
34,35000,1.1111962795257568,1541838660.793968
35,36000,1.1041754484176636,1541841486.9683428
36,37000,1.0933071374893188,1541842575.54222
37,38000,1.0945523977279663,1541843663.5628219
38,39000,1.0885047912597656,1541844749.5607605
39,40000,1.075989842414856,1541847573.058731
40,41000,1.0740598440170288,1541850381.4367976
41,42000,1.0695565938949585,1541851461.2481654
42,43000,1.0702629089355469,1541852543.508984
43,44000,1.063696026802063,1541853623.806546
44,45000,1.0592868328094482,1541856421.157277
45,46000,1.0557492971420288,1541859217.4818537
46,47000,1.057700276374817,1541860297.517397
47,48000,1.0527485609054565,1541861378.9580328
48,49000,1.0527392625808716,1541862459.6732543
49,50000,1.0503405332565308,1541863539.2629335
