,Step,Value,Wall time
0,1000,1.896730899810791,1541059577.5470836
1,2000,1.5004992485046387,1541060123.4309475
2,3000,1.1877120733261108,1541060675.835202
3,4000,1.1205072402954102,1541061218.0838518
4,5000,1.0698117017745972,1541061762.8841166
5,6000,1.0352420806884766,1541062331.7569106
6,7000,1.0241434574127197,1541062875.2713892
7,8000,1.0131417512893677,1541063419.3445234
8,9000,1.004866361618042,1541063962.8819242
9,10000,1.0114569664001465,1541064507.6676164
10,11000,1.0032620429992676,1541065077.5009093
11,12000,1.002903699874878,1541065622.2916956
12,13000,1.0028153657913208,1541066167.6556168
13,14000,1.002380132675171,1541066712.3502703
14,15000,1.002525806427002,1541067256.941788
15,16000,1.0022695064544678,1541067826.7288675
16,17000,1.0021990537643433,1541068370.9993346
17,18000,1.0021851062774658,1541068916.0996206
18,19000,1.0022094249725342,1541069460.8299713
19,20000,1.0021530389785767,1541069979.879088
20,21000,1.0029377937316895,1541070549.460186
21,22000,1.0023090839385986,1541071094.5291586
22,23000,1.0019689798355103,1541071640.1943772
23,24000,1.0019632577896118,1541072185.1402993
24,25000,1.0019807815551758,1541072729.7229033
25,26000,1.0024689435958862,1541073300.1941373
26,27000,1.0020647048950195,1541073844.6337314
27,28000,1.0019832849502563,1541074389.434269
28,29000,1.0019413232803345,1541074934.1329434
29,30000,1.0017776489257812,1541075479.8164384
30,31000,1.0017855167388916,1541076049.7302117
31,32000,1.0018497705459595,1541076594.7659683
32,33000,1.001829981803894,1541077140.388876
33,34000,1.0018819570541382,1541077685.760922
34,35000,1.0017825365066528,1541078231.9266155
35,36000,1.0017597675323486,1541078802.7359378
36,37000,1.0018534660339355,1541079348.4157977
37,38000,1.0016597509384155,1541079893.8166146
38,39000,1.0017114877700806,1541080439.92555
39,40000,1.0017507076263428,1541080960.4856312
40,41000,1.001671314239502,1541081531.0829854
41,42000,1.0024142265319824,1541082076.301238
42,43000,1.0017107725143433,1541082621.3538613
43,44000,1.0015509128570557,1541083167.3350742
44,45000,1.0016809701919556,1541083713.7022536
45,46000,1.0015270709991455,1541084285.179215
46,47000,1.0015944242477417,1541084831.7089462
47,48000,1.00165855884552,1541085377.5333238
48,49000,1.0015308856964111,1541085923.3400886
49,50000,1.0016167163848877,1541086469.0681777
