,bsz,clip,epoch,gnorm,loss,loss_scale,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
1,331.0,0%,42.0,3.137,3.282,0.5,0.000104948,1.229,90792.0,0.0,2.34,19343.0,3.3,1246.0,4573.0,17291.0
2,331.0,0%,43.0,2.947,3.278,0.25,0.000103721,1.225,92953.0,0.0,2.34,19802.0,3.3,1893.0,4573.0,17294.0
57,331.0,0%,43.0,2.953,3.276,0.25,0.000103721,1.222,92953.0,0.0,2.33,19807.0,3.3,28026.0,4572.0,17207.0
58,331.0,0%,44.0,2.958,3.264,0.25,0.000102536,1.209,95115.0,0.0,2.31,20268.0,3.3,28676.0,4573.0,17221.0
3,331.0,0%,44.0,2.995,3.266,0.25,0.000102536,1.211,95115.0,0.0,2.31,20260.0,3.3,2541.0,4573.0,17289.0
4,331.0,0%,45.0,3.051,3.263,0.25,0.00010139,1.206,97277.0,0.0,2.31,20718.0,3.3,3189.0,4573.0,17290.0
5,331.0,0%,46.0,3.189,3.257,0.25,0.000100282,1.198,99439.0,0.0,2.29,21176.0,3.3,3836.0,4573.0,17287.0
6,331.0,0%,47.0,3.278,3.254,0.25,9.9209e-05,1.193,101601.0,0.0,2.29,21635.0,3.3,4484.0,4573.0,17289.0
7,331.0,0%,48.0,3.366,3.251,0.25,9.817e-05,1.188,103763.0,0.0,2.28,22093.0,3.3,5131.0,4573.0,17317.0
8,331.0,0%,49.0,3.391,3.245,0.25,9.7163e-05,1.18,105925.0,0.0,2.26,22551.0,3.3,5778.0,4573.0,17292.0
9,331.0,0%,50.0,3.521,3.252,0.5,9.61863e-05,1.18,108087.0,0.0,2.27,23009.0,3.3,6424.0,4573.0,17319.0
10,331.0,0%,51.0,3.207,3.267,0.5,9.52385e-05,1.191,110249.0,0.0,2.28,23467.0,3.2,7093.0,4573.0,17294.0
11,331.0,0%,52.0,3.269,3.223,0.5,9.43182e-05,1.162,112411.0,0.0,2.24,23926.0,3.3,7741.0,4573.0,17272.0
12,331.0,0%,53.0,3.252,3.203,0.5,9.34241e-05,1.144,114573.0,0.0,2.21,24385.0,3.3,8390.0,4573.0,17266.0
13,331.0,0%,54.0,3.299,3.22,0.25,9.25553e-05,1.146,116734.0,0.0,2.21,24845.0,3.3,9039.0,4573.0,17220.0
14,331.0,0%,55.0,3.552,3.217,0.25,9.17099e-05,1.141,118896.0,0.0,2.21,25308.0,3.3,9691.0,4573.0,17161.0
