,Step,Value,Wall time
0,1000,1.8592698574066162,1540734940.8915522
1,2000,1.6316486597061157,1540735118.795276
2,3000,1.3660627603530884,1540735286.8977187
3,4000,1.1966824531555176,1540735460.7061708
4,5000,1.1447772979736328,1540735636.3666046
5,6000,1.1320403814315796,1540735809.640569
6,7000,1.1072707176208496,1540735984.9688764
7,8000,1.0843771696090698,1540736159.220667
8,9000,1.0674703121185303,1540736324.8180993
9,10000,1.0549342632293701,1540736499.0292437
10,11000,1.0561760663986206,1540736681.9589033
11,12000,1.0420913696289062,1540736848.15914
12,13000,1.0349007844924927,1540737023.6461134
13,14000,1.0318232774734497,1540737190.1453855
14,15000,1.0288814306259155,1540737365.1703851
15,16000,1.0266530513763428,1540737547.717437
16,17000,1.0207685232162476,1540737713.6704812
17,18000,1.020473599433899,1540737887.6579032
18,19000,1.0157725811004639,1540738063.7347808
19,20000,1.011954426765442,1540738229.5504534
20,21000,1.007577896118164,1540738411.5296721
21,22000,1.0061055421829224,1540738585.5379548
22,23000,1.0059620141983032,1540738750.9696412
23,24000,1.0048507452011108,1540738925.195801
24,25000,1.0047636032104492,1540739090.8754134
25,26000,1.0042067766189575,1540739273.199936
26,27000,1.0034672021865845,1540739447.4285831
27,28000,1.0033847093582153,1540739613.2668746
28,29000,1.0032131671905518,1540739787.2898974
29,30000,1.0031194686889648,1540739961.5290852
30,31000,1.0030287504196167,1540740135.859815
31,32000,1.0029771327972412,1540740310.0481696
32,33000,1.0029513835906982,1540740484.10957
33,34000,1.0031852722167969,1540740649.7054346
34,35000,1.0028386116027832,1540740823.8533478
35,36000,1.0026893615722656,1540741000.0443711
36,37000,1.0032168626785278,1540741174.3515637
37,38000,1.0028624534606934,1540741348.7416854
38,39000,1.0027132034301758,1540741514.3829355
39,40000,1.0025349855422974,1540741688.6610796
40,41000,1.0025721788406372,1540741871.2763648
41,42000,1.0024784803390503,1540742037.375366
42,43000,1.0032563209533691,1540742211.5060372
43,44000,1.0025250911712646,1540742385.8295088
44,45000,1.0023804903030396,1540742551.8061004
45,46000,1.002449870109558,1540742734.2771788
46,47000,1.0024417638778687,1540742900.1693661
47,48000,1.002411961555481,1540743074.4751458
48,49000,1.0025410652160645,1540743249.036454
49,50000,1.0024040937423706,1540743415.0400212
