,Step,Value,Wall time
0,1000,1.8671478033065796,1540735004.369263
1,2000,1.2131547927856445,1540735229.1211333
2,3000,1.1525075435638428,1540735445.3621795
3,4000,1.1393226385116577,1540735672.9644096
4,5000,1.0941617488861084,1540735899.5571177
5,6000,1.0406720638275146,1540736126.327415
6,7000,1.0230737924575806,1540736354.571375
7,8000,1.012298583984375,1540736581.7093387
8,9000,1.0162816047668457,1540736798.267979
9,10000,1.0066217184066772,1540737025.2864485
10,11000,1.0070708990097046,1540737262.1848953
11,12000,1.0040074586868286,1540737478.285268
12,13000,1.0034288167953491,1540737705.3979218
13,14000,1.004130482673645,1540737921.956972
14,15000,1.0030913352966309,1540738148.6526716
15,16000,1.0032525062561035,1540738385.5610628
16,17000,1.0042222738265991,1540738601.7959478
17,18000,1.003013253211975,1540738828.6003916
18,19000,1.002719521522522,1540739055.5847538
19,20000,1.0031176805496216,1540739272.118687
20,21000,1.0025995969772339,1540739508.9364715
21,22000,1.0026023387908936,1540739735.461706
22,23000,1.002884030342102,1540739951.7506967
23,24000,1.003531575202942,1540740178.3615215
24,25000,1.0029584169387817,1540740394.542387
25,26000,1.0034756660461426,1540740631.6109512
26,27000,1.0026500225067139,1540740858.403237
27,28000,1.0023213624954224,1540741074.8236508
28,29000,1.0023659467697144,1540741302.294891
29,30000,1.0023813247680664,1540741529.1347256
30,31000,1.002474069595337,1540741755.6755164
31,32000,1.0031814575195312,1540741982.890718
32,33000,1.002366065979004,1540742209.892064
33,34000,1.002342939376831,1540742426.3746774
34,35000,1.0024744272232056,1540742653.5039551
35,36000,1.0024172067642212,1540742880.2092183
36,37000,1.0023581981658936,1540743107.0228627
37,38000,1.0021791458129883,1540743333.961705
38,39000,1.0021302700042725,1540743550.4759321
39,40000,1.0021764039993286,1540743777.4531794
40,41000,1.0022006034851074,1540744015.2694707
41,42000,1.002213954925537,1540744231.7354622
42,43000,1.0021586418151855,1540744458.8188324
43,44000,1.0021830797195435,1540744686.0021484
44,45000,1.0021367073059082,1540744902.360033
45,46000,1.0028597116470337,1540745139.5011451
46,47000,1.0024782419204712,1540745356.0631163
47,48000,1.002975583076477,1540745582.8214376
48,49000,1.0028455257415771,1540745809.776837
49,50000,1.0022252798080444,1540746026.162583
